epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.8268,0.57482,3.54216,0.9925,0.38266,0.64583,0.4815,0.43853,0.45644,2.8218,0.85834,7.5e-05,7.5e-05,7.5e-05
2,32.9062,0.49963,1.69613,0.93463,0.72889,0.80861,0.89875,0.80629,0.48721,2.76848,0.85037,0.000159819,0.000159819,0.000159819
3,40.6956,0.45707,0.86811,0.88367,0.83761,0.87013,0.9765,0.90911,0.41165,1.71332,0.83145,0.00024175,0.00024175,0.00024175
4,45.7155,0.45669,0.68817,0.89396,0.95265,0.99838,0.995,0.92257,0.44789,1.07007,0.85027,0.000320794,0.000320794,0.000320794
5,50.9781,0.48807,0.64942,0.90314,0.96334,0.99421,0.995,0.91712,0.44681,0.81607,0.8435,0.00039695,0.00039695,0.00039695
6,54.9249,0.50387,0.53721,0.90787,0.95719,0.9375,0.98494,0.91039,0.43484,0.80663,0.83939,0.000470219,0.000470219,0.000470219
7,58.3948,0.47354,0.51478,0.89873,0.91422,0.90788,0.93852,0.84129,0.46384,0.86128,0.85109,0.0005406,0.0005406,0.0005406
8,62.8908,0.49035,0.51423,0.90923,0.85986,0.90625,0.90812,0.84577,0.43007,0.68338,0.84339,0.000608094,0.000608094,0.000608094
9,66.5979,0.47987,0.53497,0.90301,0.97117,0.96354,0.995,0.90235,0.4705,0.4625,0.85409,0.0006727,0.0006727,0.0006727
10,69.8274,0.4553,0.44633,0.89011,0.98262,0.97306,0.995,0.91239,0.45271,0.3873,0.84848,0.000734419,0.000734419,0.000734419
11,73.9682,0.50996,0.50645,0.94731,0.90478,0.98683,0.995,0.90676,0.47607,0.4218,0.85252,0.00079325,0.00079325,0.00079325
12,78.447,0.46128,0.44445,0.88689,0.92818,0.96875,0.9746,0.88413,0.50323,0.49915,0.88219,0.000849194,0.000849194,0.000849194
13,81.9372,0.47125,0.42715,0.89324,0.91599,0.97265,0.995,0.8804,0.50055,0.46574,0.88093,0.00090225,0.00090225,0.00090225
14,85.5501,0.46292,0.42402,0.8975,0.95196,0.86876,0.95972,0.86028,0.51829,0.53727,0.87281,0.000952419,0.000952419,0.000952419
15,90.8523,0.46373,0.43477,0.87872,0.93025,1,0.98494,0.87487,0.516,0.47698,0.86126,0.00096125,0.00096125,0.00096125
16,94.8282,0.4724,0.40041,0.8781,0.86492,0.88024,0.94253,0.80105,0.56177,1.19235,0.88915,0.000940625,0.000940625,0.000940625
17,98.8658,0.4596,0.3676,0.89479,0.91962,0.88669,0.93437,0.81633,0.5385,0.94299,0.89128,0.00092,0.00092,0.00092
18,104.023,0.48955,0.39993,0.91036,0.96788,0.90625,0.92927,0.85763,0.48994,0.61062,0.85797,0.000899375,0.000899375,0.000899375
19,108.916,0.45743,0.42807,0.89735,0.95982,0.9375,0.95946,0.8689,0.49283,0.44903,0.86173,0.00087875,0.00087875,0.00087875
20,112.228,0.45908,0.38625,0.87646,0.85713,0.85098,0.93818,0.84048,0.50598,0.79046,0.86216,0.000858125,0.000858125,0.000858125
